Назва;Модель;Ціна(грн);Посилання на товар
Samsung Galaxy A53 5G 6/128GB Black (SM-A536EZKD);SM-A536EZKD;15910;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a53-5g-6128gb-black-sm-a536ezkd/
Samsung Galaxy A32 4/64GB Black (SM-A325FZKD);SM-A325FZKD;9524;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a32-464gb-black-sm-a325fzkd/
Смартфон SAMSUNG Galaxy A03 3/32GB Dual Sim Blue (SM-A035FZBDSEK);SM-A035FZBD;5099;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a035f_galaxy_a03_332gb_zbd_blue.html
Смартфон SAMSUNG Galaxy A03 4/64GB Dual Sim Black (SM-A035FZKGSEK);SM-A035FZKG;5799;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a035f_galaxy_a03_464gb_zkg_black.html
Samsung Galaxy A13 4/64GB Black (SM-A135FZKV);SM-A135FZKV;7548;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a13-464gb-black-sm-a135fzkv/
Смартфон SAMSUNG SM-A235F Galaxy A23 6/128Gb ZKK Black (SM-A235FZKKSEK);SM-A235FZKK;9499;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a235f_galaxy_a23_6128gb_zkk_black.html
Смартфон Samsung Galaxy A03s 4/64 GB Dual Sim Black (SM-A037FZKGSEK);SM-A037FZKG;5799;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a037g_galaxy_a03s_464gb_zkg_black.html
Samsung Galaxy A13 4/128GB Black (SM-A135FZKK);SM-A135FZKK;7924;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a13-4128gb-black-sm-a135fzkk/
Samsung Galaxy A13 3/32GB Black (SM-A135FZKU);SM-A135FZKU;6657;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a13-332gb-black-sm-a135fzku/
Samsung Galaxy A53 5G 8/256GB Black (SM-A536EZKH);SM-A536EZKH;17432;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a53-5g-8256gb-black-sm-a536ezkh/
Смартфон SAMSUNG Galaxy M32 6/128 Gb Dual Sim Black (SM-M325FZKGSEK);SM-M325FZKG;8555;https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_samsung_sm-m325f-galaxy-m32-6-128gb-zkg-black.html
