Назва;Модель;Ціна(грн);Посилання на товар
Смартфон SAMSUNG SM-A536E Galaxy A53 6/128Gb ZKD Black (SM-A536EZKDSEK);SM-A536EZKD;15999;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a536e_galaxy_a53_6128gb_zkd_black.html
Смартфон SAMSUNG Galaxy A03 3/32GB Dual Sim Black (SM-A035FZKDSEK);SM-A035FZKD;5099;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a035f_galaxy_a03_332gb_zkd_black.html
Смартфон SAMSUNG Galaxy A32 4/64 Gb Dual Sim Awesome Blue (SM-A325FZBDSEK);SM-A325FZBD;9599;https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_samsung_sm-a325f-galaxy-a32-4-64-duos-zbd-blue.html
Смартфон SAMSUNG Galaxy M32 6/128 Gb Dual Sim White (SM-M325FZWGSEK);SM-M325FZWG;8555;https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_samsung_sm-m325f-galaxy-m32-6-128gb-zwg-white.html
Смартфон Samsung Galaxy A03s 3/32 GB Dual Sim Black (SM-A037FZKDSEK);SM-A037FZKD;5099;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a037g_galaxy_a03s_332gb_zkd_black.html
Смартфон SAMSUNG Galaxy A32 4/64 Gb Dual Sim Awesome Black (SM-A325FZKDSEK);SM-A325FZKD;9599;https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_samsung_sm-a325f-galaxy-a32-4-64-duos-zkd-black.html
Смартфон SAMSUNG Galaxy A03 3/32GB Dual Sim Blue (SM-A035FZBDSEK);SM-A035FZBD;5099;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a035f_galaxy_a03_332gb_zbd_blue.html
Смартфон SAMSUNG Galaxy M13 4/64Gb Dual Sim Deep Green; Sim Deep G;7299;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_m135f_galaxy_m13_464gb_zgd_deep_green.html
Смартфон SAMSUNG Galaxy A03 Core 2/32 Gb Dual Sim Light Green (SM-A032FLGDSEK);SM-A032FLGD;4099;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a032f_galaxy_a03_core_232gb_lgd_light_green.html
Смартфон SAMSUNG Galaxy M32 6/128 Gb Dual Sim Light Blue (SM-M325FLBGSEK);SM-M325FLBG;8555;https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_samsung_sm-m325f-galaxy-m32-6-128gb-lbg-light-blue.html
